ProperName,BayerName,Cst,Constellation_Full,Vmag,ra_rad,dec_rad,pi_rad,mu_alpha_cosdec_rad_d,mu_delta_rad_d,HR,HIP
Menkent,The,Cen,Centaurus,2.06,3.6943765793721157,-0.6347534825265088,2.688292e-07,-6.909242037726127e-09,-6.876456554020704e-09,5288,68933
Mirach,Bet,And,Andromeda,2.06,0.3042543513352436,0.621700772076357,8.0091226e-08,2.3348042849327144e-09,-1.4892839156876098e-09,337,5447
Saiph,Kap,Ori,Orion,2.06,1.517373832921659,-0.16876638894130314,2.443461e-08,1.937927376919706e-11,-1.6990048236008383e-11,2004,27366
Alpheratz,Alp,And,Andromeda,2.06,0.03659141856201292,0.5077307371890752,1.6299435e-07,1.8245718988450878e-09,-2.16941678413532e-09,15,677
Rasalhague,Alp,Oph,Ophiuchus,2.08,4.603015367820973,0.2192234059252488,3.2545543e-07,1.4344644631761139e-09,-2.9410038966034195e-09,6556,86032
Kochab,Bet,UMi,Ursa Minor,2.08,3.886440671413788,1.2942572177252272,1.207671e-07,-4.328480257626823e-10,1.515830866056373e-10,5563,72607
Tiaki,Bet,Gru,Grus,2.1,5.945750251852595,-0.8182900415779292,8.935117e-08,1.79404290592101e-09,-5.813782130759118e-11,8636,112122
Algol,Bet,Per,Perseus,2.12,0.8210414332395787,0.7148109521862533,1.7584193e-07,3.968769080130083e-11,-2.2033968806073367e-11,936,14576
Denebola,Bet,Leo,Leo,2.14,3.0938781373857545,0.25433525652046857,4.4074415e-07,-6.605943129763009e-09,-1.5220693993930321e-09,4534,57632
,Gam,Cen,Centaurus,2.17,3.3227581994330073,-0.8545112049452265,1.2149431e-07,-2.465149811243341e-09,7.685342131756917e-11,4819,61932
Sadr,Gam,Cyg,Cygnus,2.2,5.332977157597311,0.7026116358327616,8.629684e-09,3.17236056906719e-11,-1.207886241778721e-11,7796,100453
Suhail,Lam,Vel,Vela,2.21,2.391084869850127,-0.7580422875664523,2.904034e-08,-3.18696139177001e-10,1.7945738449283853e-10,3634,44816
Schedar,Alp,Cas,Cassiopeia,2.23,0.17674274765190678,0.986763941959998,6.927988e-08,6.753544173813332e-10,-4.2647675767417915e-10,168,3179
Alphecca,Alp,CrB,Corona Borealis,2.23,4.078339185640119,0.4662631477751375,2.1070002e-07,1.5964008604255688e-09,-1.1890379070168991e-09,5793,76267
Eltanin,Gam,Dra,Draco,2.23,4.697581158112086,0.8986517235225598,1.02489615e-07,-1.1255906956355554e-10,-3.0250249945205546e-10,6705,87833
Mintaka,Del,Ori,Orion,2.23,1.4486523476139854,-0.005220165124583184,2.2834726e-08,8.495024118004192e-12,-9.158697877223267e-12,1852,25930
Aspidiske,Iot,Car,Carina,2.25,2.430765747033775,-1.0345484720469804,2.0653065e-08,-2.50337741977436e-10,1.5901623270889095e-10,3699,45556
Naos,Zet,Pup,Puppis,2.25,2.1100354460208686,-0.6981873478284049,1.4592892e-08,-3.943549477279758e-10,2.2140156607548423e-10,3165,39429
Almach,Gam,And,Andromeda,2.26,0.5406098378141023,0.7387952238320598,4.0239538e-08,5.617334698030271e-10,-6.543823265900103e-10,603,9640
Caph,Bet,Cas,Cassiopeia,2.27,0.04000364982339859,1.0323660584196128,2.8885202e-07,6.94866425902374e-09,-2.386172633896271e-09,21,746
Mizar,Zet,UMa,Ursa Major,2.27,3.507778705307781,0.9586293363450776,1.8427768e-07,1.579676281693248e-09,-3.447121505383888e-10,5054,65378
Larawag,Eps,Sco,Scorpius,2.29,4.407701394521337,-0.5985189436539559,2.4817612e-07,-8.161196217116995e-09,-3.3977441776979885e-09,6241,82396
Uridim,Alp,Lup,Lupus,2.3,3.848143664746848,-0.8270790905145097,3.403392e-08,-2.7794657036094965e-10,-3.141831576143113e-10,5469,71860
,Eps,Cen,Centaurus,2.3,3.5774357455630534,-0.9331640674823536,3.6991285e-08,-2.030841703210377e-10,-1.5556512916095175e-10,5132,66657
